region,origin_id,origin_name,dest_id,dest_name,straight_m,option,distance_m,duration_s,crosswalk,big_crossings,stairs,underpass,underpass_m,origin_passage_m,overpass,elevator,slope,big_road_ratio
seongbuk,3193,넬 동물의료센터,5461,ZOO동물병원,1620,recommended,2205,1864,10,4,0,0,0,0,0,0,0,0.84
seongbuk,3193,넬 동물의료센터,5461,ZOO동물병원,1620,main_road,2205,1864,10,4,0,0,0,0,0,0,0,0.84
seongbuk,3193,넬 동물의료센터,5461,ZOO동물병원,1620,no_stairs,2205,1864,10,4,0,0,0,0,0,0,0,0.84
seongbuk,5302,우리동물병원,2802,스마트동물병원 성북길음점,350,recommended,562,501,3,2,0,0,0,0,0,0,0,0.13
seongbuk,5302,우리동물병원,2802,스마트동물병원 성북길음점,350,main_road,562,501,3,2,0,0,0,0,0,0,0,0.13
seongbuk,5302,우리동물병원,2802,스마트동물병원 성북길음점,350,no_stairs,562,501,3,2,0,0,0,0,0,0,0,0.13
seongbuk,5302,우리동물병원,6912,길음동물병원,903,recommended,1028,802,3,1,0,0,0,0,0,0,0,0.83
seongbuk,5302,우리동물병원,6912,길음동물병원,903,main_road,1028,802,3,1,0,0,0,0,0,0,0,0.83
seongbuk,5302,우리동물병원,6912,길음동물병원,903,no_stairs,1028,802,3,1,0,0,0,0,0,0,0,0.83
seongbuk,5302,우리동물병원,4056,봉식동물병원,1704,recommended,1772,1382,4,3,0,0,0,0,0,0,0,0.96
seongbuk,5302,우리동물병원,4056,봉식동물병원,1704,main_road,1772,1382,4,3,0,0,0,0,0,0,0,0.96
seongbuk,5302,우리동물병원,4056,봉식동물병원,1704,no_stairs,1772,1382,4,3,0,0,0,0,0,0,0,0.96
seongbuk,5728,미소동물병원,3672,도담도담동물병원,659,recommended,1076,922,5,4,0,0,0,0,0,0,0,0.34
seongbuk,5728,미소동물병원,3672,도담도담동물병원,659,main_road,1074,920,5,4,0,0,0,0,0,0,0,0.33
seongbuk,5728,미소동물병원,3672,도담도담동물병원,659,no_stairs,1076,922,5,4,0,0,0,0,0,0,0,0.34
seongbuk,5728,미소동물병원,6912,길음동물병원,1052,recommended,1564,1328,7,1,0,0,0,0,0,0,0,0.8
seongbuk,5728,미소동물병원,6912,길음동물병원,1052,main_road,1564,1328,7,1,0,0,0,0,0,0,0,0.8
seongbuk,5728,미소동물병원,6912,길음동물병원,1052,no_stairs,1564,1328,7,1,0,0,0,0,0,0,0,0.8
seongbuk,5728,미소동물병원,1837,성신동물병원,1648,recommended,2688,2085,5,4,0,0,0,0,0,0,0,0.29
seongbuk,5728,미소동물병원,1837,성신동물병원,1648,main_road,2859,2217,6,5,0,0,0,0,0,0,0,0.33
seongbuk,5728,미소동물병원,1837,성신동물병원,1648,no_stairs,2688,2085,5,4,0,0,0,0,0,0,0,0.29
seongbuk,7816,푸른종합동물병원,425,청량리 슬기 동물병원,564,recommended,647,548,3,1,0,0,0,0,0,0,0,0.88
seongbuk,7816,푸른종합동물병원,425,청량리 슬기 동물병원,564,main_road,647,548,3,1,0,0,0,0,0,0,0,0.88
seongbuk,7816,푸른종합동물병원,425,청량리 슬기 동물병원,564,no_stairs,647,548,3,1,0,0,0,0,0,0,0,0.88
seongbuk,7816,푸른종합동물병원,1,토닥토닥동물병원,1070,recommended,1367,1194,6,4,0,1,99,0,0,0,0,0.61
seongbuk,7816,푸른종합동물병원,1,토닥토닥동물병원,1070,main_road,1443,1270,7,5,0,1,98,0,0,0,0,0.65
seongbuk,7816,푸른종합동물병원,1,토닥토닥동물병원,1070,no_stairs,1835,1484,6,5,0,0,0,0,0,0,0,0.66
seongbuk,7816,푸른종합동물병원,7819,애니케어동물병원,1676,recommended,2037,1612,5,2,0,0,0,0,0,0,0,0.64
seongbuk,7816,푸른종합동물병원,7819,애니케어동물병원,1676,main_road,2146,1677,5,2,0,0,0,0,0,0,0,0.76
seongbuk,7816,푸른종합동물병원,7819,애니케어동물병원,1676,no_stairs,2037,1612,5,2,0,0,0,0,0,0,0,0.64
yeongdeungpo,51,서울 스템셀 동물병원,26,24시여의동물의료센터,564,recommended,852,695,3,3,0,0,0,0,0,0,0,0.63
yeongdeungpo,51,서울 스템셀 동물병원,26,24시여의동물의료센터,564,main_road,852,695,3,3,0,0,0,0,0,0,0,0.63
yeongdeungpo,51,서울 스템셀 동물병원,26,24시여의동물의료센터,564,no_stairs,852,695,3,3,0,0,0,0,0,0,0,0.63
yeongdeungpo,51,서울 스템셀 동물병원,3020,경인동물의료센터,943,recommended,1328,1211,8,6,0,0,0,0,0,0,0,0.74
yeongdeungpo,51,서울 스템셀 동물병원,3020,경인동물의료센터,943,main_road,1328,1211,8,6,0,0,0,0,0,0,0,0.74
yeongdeungpo,51,서울 스템셀 동물병원,3020,경인동물의료센터,943,no_stairs,1328,1211,8,6,0,0,0,0,0,0,0,0.74
yeongdeungpo,51,서울 스템셀 동물병원,1874,러브펫 동물병원,1664,recommended,2435,2221,14,12,0,0,0,0,0,0,0,0.64
yeongdeungpo,51,서울 스템셀 동물병원,1874,러브펫 동물병원,1664,main_road,2487,2249,14,12,0,0,0,0,0,0,0,0.63
yeongdeungpo,51,서울 스템셀 동물병원,1874,러브펫 동물병원,1664,no_stairs,2435,2221,14,12,0,0,0,0,0,0,0,0.64
yeongdeungpo,3020,경인동물의료센터,3872,한가람동물의료센터,728,recommended,885,779,5,4,0,0,0,0,0,0,0,0.9
yeongdeungpo,3020,경인동물의료센터,3872,한가람동물의료센터,728,main_road,885,779,5,4,0,0,0,0,0,0,0,0.9
yeongdeungpo,3020,경인동물의료센터,3872,한가람동물의료센터,728,no_stairs,885,779,5,4,0,0,0,0,0,0,0,0.9
yeongdeungpo,3020,경인동물의료센터,51,서울 스템셀 동물병원,943,recommended,1328,1211,9,7,0,0,0,0,0,0,0,0.4
yeongdeungpo,3020,경인동물의료센터,51,서울 스템셀 동물병원,943,main_road,1328,1211,9,7,0,0,0,0,0,0,0,0.4
yeongdeungpo,3020,경인동물의료센터,51,서울 스템셀 동물병원,943,no_stairs,1328,1211,9,7,0,0,0,0,0,0,0,0.4
yeongdeungpo,3020,경인동물의료센터,795,신길S동물의료센터,1639,recommended,1893,1485,3,1,0,1,73,0,0,0,0,0.85
yeongdeungpo,3020,경인동물의료센터,795,신길S동물의료센터,1639,main_road,1894,1511,4,1,0,1,73,0,0,0,0,0.9
yeongdeungpo,3020,경인동물의료센터,795,신길S동물의료센터,1639,no_stairs,2545,1968,5,3,0,0,0,0,0,0,0,0.87
yeongdeungpo,4113,벨라동물병원,1381,24시 신도림S동물의료센터,696,recommended,1179,975,2,1,0,1,81,0,0,0,0,0.25
yeongdeungpo,4113,벨라동물병원,1381,24시 신도림S동물의료센터,696,main_road,1179,975,2,1,0,1,81,0,0,0,0,0.25
yeongdeungpo,4113,벨라동물병원,1381,24시 신도림S동물의료센터,696,no_stairs,2449,2219,13,8,0,0,0,0,0,0,0,0.24
yeongdeungpo,4113,벨라동물병원,1668,구로다나은동물병원,906,recommended,1059,1005,7,4,0,1,81,0,0,0,0,0.64
yeongdeungpo,4113,벨라동물병원,1668,구로다나은동물병원,906,main_road,1059,1005,7,4,0,1,81,0,0,0,0,0.64
yeongdeungpo,4113,벨라동물병원,1668,구로다나은동물병원,906,no_stairs,3419,2937,14,9,0,0,0,0,0,0,0,0.18
yeongdeungpo,4113,벨라동물병원,795,신길S동물의료센터,1675,recommended,2097,1871,11,4,0,0,0,0,0,0,0,0.62
